MARCA,SUB-CATEGORIA,CANAL ,SKU,CÓDIGO DE BARRAS,PRODUCTO,Ciudades,Unidades distribuidas , Tamaño ,2021 ENERO,2021 FEBRERO,2021 MARZO,2021 ABRIL,2021 MAYO,2021 JUNIO,2022 ENERO,2022 FEBRERO,2022 MARZO,2022 ABRIL,2022 MAYO,2022 JUNIO, Total 2021 , Total 2022 , Total general 
INFANTI,VASOS ENTRENADORES,Autoservicios,5473,7.50103E+12,VASO SEA BOQ SUAVE,Monterrey,"24,646",0,16,865,169,94,716,162,206,233,392,78,470,312,"2,022","1,692","3,714"
INFANTI,VASOS ENTRENADORES,Autoservicios,8169,7.50103E+12,VASO SPORT 10 OZ,Monterrey,"24,647",0 OZ,0,0,0,0,0,0,0,0,0,0,0,"1,068", -   ,"1,068","1,068"
INFANTI,VASOS ENTRENADORES,Autoservicios,8171,7.50103E+12,TAZA CALMAT BS 8 OZ,Monterrey,"24,648",8 OZ,0,0,0,204,0,0,0,0,48,204,324,0,204,576,780
INFANTI,VASOS ENTRENADORES,Autoservicios,5430,7.50103E+12,VASO TUMBL BD FANTA,Guadalajara,"24,649",0,0,0,0,0,0,0,0,0,10,10,0,0, -   ,19,19
INFANTI,VASOS ENTRENADORES,Autoservicios,5495,7.50103E+12,VASO BOQ SUAVE PETS,Ciudad de Mexico,"24,650",0,0,0,0,10,0,0,0,0,0,29,0,0,10,29,38
INFANTI,VASOS ENTRENADORES,Autoservicios,5494,7.50103E+12,VASO POPOTE DIVERTI,Ciudad de Mexico,"24,651",0,0,0,0,12,0,0,0,0,0,24,0,0,12,24,36
INFANTI,VASOS ENTRENADORES,Autoservicios,5498,7.50103E+12,VASO GLOW 2 PACK,Monterrey,"24,652",0,0,0,0,86,0,0,0,0,25,101,91,0,86,217,304
INFANTI,VASOS ENTRENADORES,Autoservicios,5500,7.50103E+12,VASO ABC,Guadalajara,"24,653",0,0,0,0,18,44,0,0,0,0,0,23,0,62,23,85
INFANTI,VASOS ENTRENADORES,Autoservicios,5528,7.50103E+12,VASO GLOW 1 PACK,Guadalajara,"24,654",0,7,0,0,8,6,0,10,0,0,6,0,0,22,16,37
INFANTI,VASOS ENTRENADORES,Autoservicios,5538,7.50103E+12,REEMPLAZO BS 2PACK,Monterrey,"24,655",0,50,0,31,72,22,26,0,55,48,48,10,10,202,170,372
INFANTI,VASOS ENTRENADORES,Autoservicios,8207,7.50103E+12,VASO TODDLER NINA,Ciudad de Mexico,"24,656",0,0,0,0,0,12,0,7,0,0,2,5,0,12,14,26
INFANTI,VASOS ENTRENADORES,Autoservicios,5442,7.50103E+12,VASO BD AVENTURAS,Ciudad de Mexico,"24,657",0,0,6,4,5,5,3,2,1,5,3,8,1,23,19,41
INFANTI,VASOS ENTRENADORES,Autoservicios,5462,7.50103E+12,TAZA BASICA BS 10OZ,Ciudad de Mexico,"24,658",10OZ,12,12,49,49,52,58,22,16,35,19,80,16,232,187,419
INFANTI,VASOS ENTRENADORES,Autoservicios,5473,7.50103E+12,VASO SEA BOQ SUAVE,Monterrey,"24,659",0,0,48,26,12,35,29,14,23,20,11,24,0,150,92,242
INFANTI,VASOS ENTRENADORES,Autoservicios,5727,7.50103E+12,TAZA ADVANCED 5OZ,Monterrey,"24,660", 5OZ,4,2,17,7,12,12,5,20,22,8,18,0,54,73,127
INFANTI,VASOS ENTRENADORES,Autoservicios,5728,7.50103E+12,VASO ADV BS 8 OZ,Monterrey,"24,661",8 OZ,1,4,7,0,5,6,1,8,1,5,4,1,23,20,43
INFANTI,VASOS ENTRENADORES,Autoservicios,8169,7.50103E+12,VASO SPORT 10 OZ,Guadalajara,"24,662",0 OZ,0,22,32,19,24,27,14,13,26,11,37,6,125,107,232
INFANTI,VASOS ENTRENADORES,Autoservicios,8176,7.50103E+12,VASO ADVANCED BD,Ciudad de Mexico,"24,663",0,6,2,8,2,0,2,2,5,0,1,4,1,22,13,35
INFANTI,VASOS ENTRENADORES,Autoservicios,5430,7.50103E+12,VASO TUMBL BD FANTA,Ciudad de Mexico,"24,664",0,20,11,7,10,22,14,6,7,13,10,26,5,84,67,151
INFANTI,VASOS ENTRENADORES,Autoservicios,5495,7.50103E+12,VASO BOQ SUAVE PETS,Monterrey,"24,665",0,7,1,11,7,7,7,2,6,19,10,10,7,41,54,95
INFANTI,VASOS ENTRENADORES,Autoservicios,5494,7.50103E+12,VASO POPOTE DIVERTI,Guadalajara,"24,666",0,0,0,0,23,40,0,20,14,0,0,0,0,62,35,97
INFANTI,VASOS ENTRENADORES,Autoservicios,5498,7.50103E+12,VASO GLOW 2 PACK,Guadalajara,"24,667",0,24,10,17,14,17,22,17,5,10,14,19,5,103,70,173
INFANTI,VASOS ENTRENADORES,Autoservicios,5500,7.50103E+12,VASO ABC,Monterrey,"24,668",0,26,24,49,28,38,29,41,17,60,25,68,14,194,226,420
INFANTI,VASOS ENTRENADORES,Autoservicios,5531,7.50103E+12,VASO MAGICO 360,Ciudad de Mexico,"24,669",0,4,1,12,7,1,10,5,0,2,6,12,1,35,26,61
INFANTI,VASOS ENTRENADORES,Autoservicios,8201,7.50103E+12,VASO TODDLER NINO,Ciudad de Mexico,"24,670",0,1,2,8,2,2,6,0,1,0,4,5,5,23,14,37
INFANTI,VASOS ENTRENADORES,Autoservicios,8207,7.50103E+12,VASO TODDLER NINA,Ciudad de Mexico,"24,671",0,6,6,6,6,5,6,1,0,7,4,7,2,35,22,56
INFANTI,VASOS ENTRENADORES,Autoservicios,5442,7.50103E+12,VASO BD AVENTURAS,Monterrey,"24,672",0,19,0,0,29,17,0,17,0,28,13,10,0,65,68,133
INFANTI,VASOS ENTRENADORES,Autoservicios,5462,7.50103E+12,TAZA BASICA BS 10OZ,Monterrey,"24,673",10OZ,58,55,130,76,457,12,96,79,78,35,287,72,787,647,"1,434"
INFANTI,VASOS ENTRENADORES,Autoservicios,5473,7.50103E+12,VASO SEA BOQ SUAVE,Monterrey,"24,674",0,26,0,0,36,0,0,32,96,0,26,47,0,62,202,264
INFANTI,VASOS ENTRENADORES,Autoservicios,8169,7.50103E+12,VASO SPORT 10 OZ,Guadalajara,"24,675",0 OZ,27,0,30,16,83,35,13,13,51,3,32,0,192,112,304
INFANTI,VASOS ENTRENADORES,Autoservicios,8171,7.50103E+12,TAZA CALMAT BS 8 OZ,Ciudad de Mexico,"24,676",8 OZ,0,79,7,97,154,0,77,29,224,36,0,0,337,366,703
INFANTI,VASOS ENTRENADORES,Autoservicios,5430,7.50103E+12,VASO TUMBL BD FANTA,Ciudad de Mexico,"24,677",0,10,16,0,29,115,13,12,6,0,20,37,0,182,76,258
INFANTI,VASOS ENTRENADORES,Autoservicios,5495,7.50103E+12,VASO BOQ SUAVE PETS,Monterrey,"24,678",0,0,0,0,0,0,0,0,178,0,13,19,0, -   ,210,210
INFANTI,VASOS ENTRENADORES,Autoservicios,5494,7.50103E+12,VASO POPOTE DIVERTI,Guadalajara,"24,679",0,146,0,0,0,96,0,54,7,0,0,0,0,242,61,304
INFANTI,VASOS ENTRENADORES,Autoservicios,5498,7.50103E+12,VASO GLOW 2 PACK,Guadalajara,"24,680",0,55,72,0,0,38,0,48,0,0,26,0,2,166,77,242
INFANTI,VASOS ENTRENADORES,Autoservicios,5500,7.50103E+12,VASO ABC,Monterrey,"24,681",0,0,0,0,31,152,0,0,0,0,0,50,0,184,50,234
INFANTI,VASOS ENTRENADORES,Autoservicios,5528,7.50103E+12,VASO GLOW 1 PACK,Ciudad de Mexico,"24,682",0,14,0,0,14,17,0,29,0,0,8,0,0,46,37,83
INFANTI,VASOS ENTRENADORES,Autoservicios,5538,7.50103E+12,REEMPLAZO BS 2PACK,Ciudad de Mexico,"24,683",0,113,0,82,125,115,41,0,166,278,130,31,29,475,634,"1,109"
